PERMNO,SecInfoStartDt,SecInfoEndDt,SecurityBegDt,SecurityEndDt,SecurityHdrFlg,HdrCUSIP,HdrCUSIP9,CUSIP,CUSIP9,PrimaryExch,ConditionalType,ExchangeTier,TradingStatusFlg,SecurityNm,ShareClass,USIncFlg,IssuerType,SecurityType,SecuritySubType,ShareType,SecurityActiveFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,Ticker,TradingSymbol,PERMCO,SICCD,NAICS,ICBIndustry,NASDCompno,NASDIssuno,IssuerNm,YYYYMMDD,DlyCalDt,DlyDelFlg,DlyPrc,DlyPrcFlg,DlyCap,DlyCapFlg,DlyPrevPrc,DlyPrevPrcFlg,DlyPrevDt,DlyPrevCap,DlyPrevCapFlg,DlyRet,DlyRetx,DlyRetI,DlyRetMissFlg,DlyRetDurFlg,DlyOrdDivAmt,DlyNonOrdDivAmt,DlyFacPrc,DlyDistRetFlg,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,DlyMMCnt,DlyPrcVol,ShrStartDt,ShrEndDt,ShrOut,ShrSource,ShrFacType,ShrAdrFlg,DisExDt,DisSeqNbr,DisOrdinaryFlg,DisType,DisFreqType,DisPaymentType,DisDetailType,DisTaxType,DisOrigCurType,DisDivAmt,DisFacPr,DisFacShr,DisDeclareDt,DisRecordDt,DisPayDt,DisPERMNO,DisPERMCO,vwretd,vwretx,ewretd,ewretx,sprtrn
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100909,2010-09-09,N,50.660000,TR,26241.88,BP,,NS,,,MP,,,,NS,MR,0.000000,0.000000,1.000000,NO,53000,50.660000,50.570000,51.250000,50.650000,50.670000,51.250000,,,2684980.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,0.003763,0.003615,0.002379,0.002270,0.004832
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100910,2010-09-10,N,50.890000,TR,26361.02,BP,50.660000,TR,2010-09-09,26241.88,PB,0.004540,0.004540,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,17300,50.890000,50.648000,50.930000,50.930000,50.950000,50.840000,,,880397.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,0.004477,0.004456,0.004090,0.004066,0.004863
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100913,2010-09-13,N,51.530000,TR,26692.54,BP,50.890000,TR,2010-09-10,26361.02,PB,0.012576,0.012576,0.000000,NA,D3,0.000000,0.000000,1.000000,NO,67500,51.530000,51.250000,51.570000,51.500000,51.520000,51.480000,,,3478275.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,0.012869,0.012516,0.015657,0.015247,0.011131
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100914,2010-09-14,N,51.519000,TR,26686.84,BP,51.530000,TR,2010-09-13,26692.54,PB,-0.000213,-0.000213,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,118800,51.519000,51.190000,51.740000,51.440000,51.460000,51.420000,,,6120457.2,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.000108,-0.000130,-0.000759,-0.000812,-0.000713
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100915,2010-09-15,N,51.650000,TR,26754.70,BP,51.519000,TR,2010-09-14,26686.84,PB,0.002543,0.002543,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,18600,51.650000,51.200000,51.690000,51.650000,51.670000,51.310000,,,960690.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,0.002952,0.002919,0.001408,0.001318,0.003541
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100916,2010-09-16,N,51.630000,TR,26744.34,BP,51.650000,TR,2010-09-15,26754.70,PB,-0.000387,-0.000387,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,119200,51.630000,51.350000,51.660000,51.650000,51.660000,51.510000,,,6154296.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.000750,-0.000858,-0.002683,-0.002750,-0.000364
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100917,2010-09-17,N,51.680000,TR,26770.24,BP,51.630000,TR,2010-09-16,26744.34,PB,0.000968,0.000968,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,98700,51.680000,51.510000,51.940000,51.650000,51.660000,51.940000,,,5100816.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,0.001128,0.001080,0.003161,0.003086,0.000827
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100920,2010-09-20,N,52.520000,TR,27205.36,BP,51.680000,TR,2010-09-17,26770.24,PB,0.016254,0.016254,0.000000,NA,D3,0.000000,0.000000,1.000000,NO,38000,52.520000,51.730000,52.520000,52.450000,52.470000,51.870000,,,1995760.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,0.015179,0.015156,0.017205,0.017142,0.015210
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100921,2010-09-21,N,52.359900,TR,27122.43,BP,52.520000,TR,2010-09-20,27205.36,PB,-0.003048,-0.003048,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,38600,52.359900,52.140000,52.720000,52.350000,52.370000,52.510000,,,2021092.1,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.003097,-0.003120,-0.002993,-0.003086,-0.002564
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20100922,2010-09-22,N,52.080000,TR,26977.44,BP,52.359900,TR,2010-09-21,27122.43,PB,-0.005346,-0.005346,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,36300,52.080000,51.980000,52.520000,52.080000,52.100000,52.280000,,,1890504.0,2010-09-09,2010-09-29,518,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.005023,-0.005124,-0.005274,-0.005351,-0.004825
