permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,CUSIP,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMDIS,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,BEGVOL,ENDVOL
10078,8021,11,233,,SUN MICROSYSTEMS INC,JAVA,334111,Q,A,R,86681020,60007974,10497,3,3571,5,8,149,1,1765,1986-03-04,2010-01-26,1986-03-04,2010-01-26,1986-03-04,2010-01-26,1986-03-04,2010-01-26
10104,8045,11,100,ORCL,ORACLE CORP,ORCL,541512,N,A,R,68389X10,60007998,10536,1,7379,5,74,322,1,2083,1986-03-12,2024-12-31,1986-03-12,2024-12-31,1986-03-12,2024-12-31,1986-03-12,2024-12-31
10107,8048,11,100,MSFT,MICROSOFT CORP,MSFT,513210,Q,A,R,59491810,60008001,10539,3,7370,3,94,280,1,2260,1986-03-13,2024-12-31,1986-03-13,2024-12-31,1986-03-13,2024-12-31,1986-03-13,2024-12-31
10108,8049,11,233,,SUNGARD DATA SYSTEMS INC,SDS,514210,N,A,R,86736310,60008002,10540,1,7374,4,5,153,1,216,1986-03-13,2005-08-11,1986-03-13,2005-08-11,1986-03-13,2005-08-11,1986-03-13,2005-08-11
10137,20045,11,231,,ALLEGHENY ENERGY INC,AYE,221121,N,A,R,01736110,0,0,1,4911,8,290,346,1,0,1925-12-31,2011-02-25,1925-12-31,2011-02-25,1925-12-31,2011-02-25,1925-12-31,2011-02-25
10138,8087,11,100,TROW,T ROWE PRICE GROUP INC,TROW,523940,Q,A,R,74144T10,60008040,10609,3,6211,7,163,284,1,1717,1986-04-02,2024-12-31,1986-04-02,2024-12-31,1986-04-02,2024-12-31,1986-04-02,2024-12-31
10145,22168,11,100,HON,HONEYWELL INTERNATIONAL INC,HON,336412,Q,A,R,43851610,60018933,25476,3,3724,19,431,497,1,96,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
10147,8093,11,241,,E M C CORP MA,EMC,334112,N,A,R,26864810,60008046,10615,1,3572,5,23,315,1,59,1986-04-04,2016-09-06,1986-04-04,2016-09-06,1986-04-04,2016-09-06,1986-04-04,2016-09-06
10225,20067,11,233,,BEAM INC,BEAM,312120,N,A,R,07373010,0,0,1,3433,12,391,382,1,0,1925-12-31,2014-04-30,1925-12-31,2014-04-30,1925-12-31,2014-04-30,1925-12-31,2014-04-30
10299,8220,11,241,,LINEAR TECHNOLOGY CORP,LLTC,334413,Q,A,R,53567810,60008172,10788,3,3670,2,104,204,1,1901,1986-05-28,2017-03-10,1986-05-28,2017-03-10,1986-05-28,2017-03-10,1986-05-28,2017-03-10
10324,8243,11,261,,GENZYME CORP,GENZ,325414,Q,A,R,37291710,60008195,10818,3,2836,2,10,156,1,1711,1986-06-05,2011-04-08,1986-06-05,2011-04-08,1986-06-05,2011-04-08,1986-06-05,2011-04-08
