==================== Running GPU test ====================
TF: 2.16.1
Visible GPUs: [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Built with CUDA?: True
OrderedDict({'cpu_compiler': '/usr/lib/llvm-17/bin/clang', 'cuda_compute_capabilities': ['sm_50', 'sm_60', 'sm_70', 'sm_80', 'compute_90'], 'cuda_version': '12.3', 'cudnn_version': '8', 'is_cuda_build': True, 'is_rocm_build': False, 'is_tensorrt_build': True})
libcuda.so.1 is loadable ✅




===== Processing Fold 6 =====


--- Tuning hyperparameters for Fold 6 ---


Fold: 6 | n_neurons: 16 | learning_rate: 0.01
Epoch 001 | loss=0.000984467566 | val_loss=nan | duration=10.46s | end_time=1760191059.86s
Epoch 002 | loss=0.000952924020 | val_loss=nan | duration=7.17s | end_time=1760191067.03s
Epoch 003 | loss=0.000952924194 | val_loss=nan | duration=6.17s | end_time=1760191073.21s
Epoch 004 | loss=0.000952924194 | val_loss=nan | duration=6.25s | end_time=1760191079.46s
Epoch 005 | loss=0.000952924194 | val_loss=nan | duration=6.50s | end_time=1760191085.96s
Epoch 006 | loss=0.000952924020 | val_loss=nan | duration=6.79s | end_time=1760191092.75s
Epoch 007 | loss=0.000952924252 | val_loss=nan | duration=6.78s | end_time=1760191099.52s
Epoch 008 | loss=0.000952924427 | val_loss=nan | duration=6.27s | end_time=1760191105.79s
Epoch 009 | loss=0.000952924020 | val_loss=nan | duration=6.38s | end_time=1760191112.17s
Epoch 010 | loss=0.000952924252 | val_loss=nan | duration=6.24s | end_time=1760191118.41s
Epoch 011 | loss=0.000952924194 | val_loss=nan | duration=6.30s | end_time=1760191124.71s
Epoch 012 | loss=0.000952923903 | val_loss=nan | duration=6.06s | end_time=1760191130.77s
Epoch 013 | loss=0.000952924369 | val_loss=nan | duration=6.58s | end_time=1760191137.36s
Epoch 014 | loss=0.000952924078 | val_loss=nan | duration=6.90s | end_time=1760191144.25s
Epoch 015 | loss=0.000952924369 | val_loss=nan | duration=7.19s | end_time=1760191151.44s
Epoch 016 | loss=0.000952924194 | val_loss=nan | duration=6.67s | end_time=1760191158.11s
Epoch 017 | loss=0.000952924485 | val_loss=nan | duration=6.91s | end_time=1760191165.02s
Epoch 018 | loss=0.000952924252 | val_loss=nan | duration=6.95s | end_time=1760191171.97s
Epoch 019 | loss=0.000952924369 | val_loss=nan | duration=7.19s | end_time=1760191179.16s
Epoch 020 | loss=0.000952924252 | val_loss=nan | duration=6.55s | end_time=1760191185.70s
Epoch 021 | loss=0.000952924020 | val_loss=nan | duration=6.52s | end_time=1760191192.22s
Epoch 022 | loss=0.000952924369 | val_loss=nan | duration=7.25s | end_time=1760191199.47s
Epoch 023 | loss=0.000952924369 | val_loss=nan | duration=6.69s | end_time=1760191206.16s
Epoch 024 | loss=0.000952924252 | val_loss=nan | duration=6.36s | end_time=1760191212.52s
Epoch 025 | loss=0.000952924369 | val_loss=nan | duration=6.11s | end_time=1760191218.62s
Epoch 026 | loss=0.000952924252 | val_loss=nan | duration=7.21s | end_time=1760191225.84s
Epoch 027 | loss=0.000952924427 | val_loss=nan | duration=7.21s | end_time=1760191233.04s
Epoch 028 | loss=0.000952923670 | val_loss=nan | duration=7.24s | end_time=1760191240.28s
Epoch 029 | loss=0.000952924369 | val_loss=nan | duration=6.05s | end_time=1760191246.33s
Epoch 030 | loss=0.000952924427 | val_loss=nan | duration=6.08s | end_time=1760191252.41s
Epoch 031 | loss=0.000952924194 | val_loss=nan | duration=6.04s | end_time=1760191258.44s
Epoch 032 | loss=0.000952924194 | val_loss=nan | duration=6.03s | end_time=1760191264.48s
