fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,1.691069514633286e-06,3.976673451017073e-07,2.3487375807558542e-07,99.99279029367537,99.9927215381816,100.0,1.7214961189893074e-06,4.078225401826785e-07,2.430209065096278e-07,99.99279379844666,99.99271631240843,100.0,False
1,1.2056637395044098e-06,2.1738846160340202e-07,2.3272997102024953e-07,99.99244308267268,100.0,99.99603740687905,1.2299058198550483e-06,2.447367251079413e-07,2.583822436008632e-07,99.99244213104248,100.0,99.99603629112244,False
2,8.113165103589101e-07,1.8049783576006227e-07,1.0410550587330994e-07,99.99553738470148,99.99656868351823,100.0,8.139715532706759e-07,1.8033115622984042e-07,1.0413591411406743e-07,99.99622106552124,99.99656677246094,100.0,False
3,1.4685756026548733e-07,8.800832775589277e-08,4.0801494999659696e-07,99.99644872491467,100.0,100.0,1.7960827847218755e-07,1.2110027114431432e-07,4.420649020175915e-07,99.9964475631714,100.0,100.0,False
4,1.0229793522092308e-07,2.7755087084195136e-07,1.0297993978216946e-05,99.99894370660395,100.0,100.0,1.1592356230494261e-07,3.051871431125619e-07,1.040702591126319e-05,99.99894499778748,100.0,100.0,False
5,1.7274429044615938e-07,9.265032812431505e-06,2.470664502984081e-07,99.99898509785348,100.0,99.99837022067211,1.992890190649632e-07,9.384810255141929e-06,2.803135998874496e-07,99.99898672103882,100.0,99.99837279319765,False
6,7.226089860173027e-06,1.3692209234462995e-06,0.07669268567583547,99.63108877976984,99.90222638665391,99.36160057276958,7.245792403409723e-06,1.3481268297255156e-06,0.0766930803656578,78.86643409729004,94.45440769195557,79.67264652252197,False
7,8.846160164042691e-06,0.07986768129805574,2.7396933495300606e-07,99.91640435854814,99.8715904148458,99.95331417485399,8.61199623614084e-06,0.0798674002289772,2.840707793438924e-07,99.98649954795836,99.98860359191896,99.99066591262816,False
8,0.02537194716058454,5.969942146358125e-07,5.496759825464845e-07,99.91284930164338,99.99656715222392,99.9973860309494,0.0253725368529558,4.620961817636271e-07,4.070069223871542e-07,99.99967217445374,100.0,100.0,False
9,0.025162623945109704,4.990764836392312e-07,4.878183807246181e-07,98.53444478882889,99.79956204886979,99.88208811233787,0.0251629278063774,1.6862578888776625e-07,1.0842826014823005e-07,99.99967217445374,100.0,100.0,False
10,0.027511999093852255,6.590060026732089e-07,6.564553147896837e-07,89.55041790480404,96.46279978197676,96.1146317935944,0.0275125466287136,8.074403723412615e-08,7.08205973865006e-08,99.99999403953552,100.0,100.0,False
11,1.0621677775269823e-07,4.7581813888161504e-08,4.4845439661733414e-05,100.0,100.0,100.0,1.3705275136999262e-07,8.387942074250533e-08,4.486366742639802e-05,100.0,100.0,100.0,False
12,6.053812377820229e-08,4.9215622242060987e-05,5.98111558621475e-08,100.0,100.0,100.0,6.919234607494218e-08,4.922530206386e-05,6.748923908617145e-08,100.0,100.0,100.0,False
13,1.2354335956773843e-05,6.395821341479049e-08,4.914885152768287e-08,99.99965529603176,100.0,100.0,1.2364055692160036e-05,7.20450543667539e-08,5.5029463652545025e-08,100.0,100.0,100.0,False
14,1.2083802426819687e-05,5.323513869476355e-08,1.1961395144593377e-07,99.99966360434489,100.0,100.0,1.210301707033068e-05,6.081440062644107e-08,1.3992654146477437e-07,100.0,100.0,100.0,False
15,1.2045593127339787e-05,1.1947320827185135e-07,7.453718417585511e-08,100.0,100.0,100.0,1.2061826964782084e-05,1.3753486882706056e-07,8.20938410583949e-08,100.0,100.0,99.99999403953552,False
16,8.108493725986637e-08,7.414638024968927e-08,3.571046574982602e-07,100.0,100.0,100.0,9.662859667969317e-08,8.53131467692947e-08,4.220756579798035e-07,100.0,99.99999403953552,100.0,False
17,7.009416203396155e-08,3.270917897065887e-07,1.410497041130407e-07,100.0,100.0,100.0,8.207107526914116e-08,3.81924849079951e-07,1.5458600444162585e-07,100.0,100.0,100.0,False
18,3.7556947954032945e-07,3.262014979939394e-07,2.5413085760757583e-07,99.91709699651408,99.97449083710869,99.98541537025514,3.885991475272022e-07,3.549688756265823e-07,2.63517307530492e-07,100.0,99.99999403953552,100.0,False
19,4.4865427499376836e-07,2.574642757400653e-07,1.2419611843456601e-06,99.92601187173149,99.9863235840025,99.9504822819415,4.3322461351635866e-07,2.540689081342862e-07,1.2491934739955468e-06,100.0,100.0,99.9989688396454,False
20,4.780519481477844e-07,1.3446747283006758e-06,8.592660026500611e-07,99.99169449012474,99.97981836528758,99.98536103351103,4.663829429318867e-07,1.3460470427162363e-06,8.4947129153079e-07,99.99999403953552,99.99887943267822,100.0,False
