fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,OLS_train_us,OLS_val_us,OLS_test_us,OLS_alpha_train,OLS_beta_train,OLS_r2_train,OLS_alpha,OLS_beta,OLS_r2_test,var_train,var_val,var_test,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,NN_alpha_train,NN_beta_train,NN_r2_train,NN_alpha,NN_beta,NN_r2_test,NN_train_us,NN_val_us,NN_test_us,normalized
0,0.468755592331171,,0.5719553657385623,76.25841804033438,,85.59342333451504,49.89189701554516,,47.30523431287068,1.1102230246251565e-16,1.0,0.5312444076688291,-0.058763653133899904,0.9636893521577474,0.43001559509419895,1.0000000000000002,,0.7535312068548055,0.47024632856675436,,0.5738408584007976,76.21282972538683,,85.49186060995123,0.03584398971775935,1.0108851110100003,0.5310725196180416,-0.03655137146988199,0.9460730067720862,0.4275839549700935,52.096611118132415,,49.74178156349108,True
1,0.44401960451026046,,0.6334437254858123,77.33584129791656,,80.65356199000753,49.672513097231516,,48.17126101969559,1.8041124150158794e-16,1.000000000000001,0.5559803954897395,-0.04397661564568372,0.9421219821018806,0.36819618512234575,1.0,,0.6849461339047422,0.4439454153942247,,0.6316233563314895,77.3237204666969,,80.63523601921332,0.030117815735637543,1.035094864734686,0.5575421219545722,-0.009964291830708367,0.9874221953498888,0.3684507085635862,51.572565620833466,,48.84257026563012,True
2,0.46743337398570134,,0.5562772315831407,76.77720764525309,,78.27040029486221,49.41719509735822,,48.13625738367976,0.0,1.0,0.5325666260142986,-0.019990322994773893,0.9849783101534659,0.4441240732971782,1.0000000000000002,,0.7835023837933354,0.47006875887450583,,0.5580066467146494,76.80745703466356,,78.32859678561383,0.02747380136860377,1.0651312766525514,0.5325879885928342,0.010965253481516522,1.063940657809724,0.4437100375969225,51.01391471912882,,48.56206170767903,True
3,0.5745775031730644,,0.59168953357088,73.83016222080667,,73.88675096206707,49.230762304989526,,51.68896218923707,-5.898059818321144e-17,0.9999999999999992,0.42542249682693545,0.05578149426246379,1.0357537721936843,0.4124578069354353,1.0000000000000002,,1.064009326395391,0.5755702621367828,,0.5959851566042806,73.84254205203581,,73.83992018406532,0.0044831446478807244,1.027613543463024,0.42475547776174094,0.06241370892235379,1.0664426825625715,0.41074043780468306,49.49028858512035,,52.327286054608756,True
4,0.5836416123084534,,0.5436443135005998,73.40940028867135,,84.99992169514353,49.03468388662011,,53.97553756283965,-1.5612511283791264e-16,1.0000000000000004,0.41635838769154665,0.04813062684308156,1.0490742168528198,0.4653142762513316,1.0,,0.9712764674076951,0.5797994491766849,,0.5388277275620831,73.57425762892733,,84.98582682097944,-0.032639129863692995,1.0142474861774387,0.4213192822720525,0.043540039384101344,0.9991269839353121,0.46305816966923197,47.337542553943464,,51.42123314487964,True
5,0.4977996725053635,,0.4663978857362046,76.27405774826242,,81.92914295776973,48.814633297566914,,46.21226295688924,4.163336342344337e-16,1.0000000000000013,0.5022003274946365,-0.03398927574982293,0.9825454365616038,0.5362153729019516,0.9999999999999999,,0.851936858367922,0.48178164224701725,,0.4712649459980834,76.68222989105743,,81.92914295776973,-0.005671516394370663,1.018053935018843,0.5184124268877093,-0.05989973928829271,1.0053655439305906,0.5324660438489187,48.591576525630984,,45.592621534465486,True
6,0.35161481484883056,,0.5393015089490312,80.21299872736608,,77.55086364989295,48.678693429190204,,47.02019183685226,1.5959455978986625e-16,1.0000000000000004,0.6483851851511695,-0.03513600880928471,0.9633458497841024,0.46244158644373456,0.9999999999999999,,0.6234905618245943,0.35064531041830105,,0.5356471795188122,80.21813391680993,,77.72945050935661,0.03963333217912328,0.9928597916365277,0.6509818326569801,0.014871827701775163,0.9928851046316354,0.4648388364000611,51.717162696197725,,50.284682816295565,True
7,0.36170812768174415,,0.4782530238693967,79.94685929984561,,79.12572593067422,48.7968606384023,,49.3738100477416,-2.5673907444456745e-16,1.0000000000000002,0.6382918723182559,-0.0038004113125323334,0.9649460564042205,0.5225131409581344,0.9999999999999999,,0.7048905719855867,0.34377267018529684,,0.4769623472869934,80.4541722811683,,79.11233149319276,-0.00440466661833961,1.0263765635408981,0.6566794335328041,-0.006605762374651249,0.9795350340532054,0.5232661475019249,48.80020703009968,,48.97197692329771,True
8,0.35521842095182,,0.5331790171540866,80.10735480429419,,85.64580508393652,48.9331199573248,,46.82683676782338,-3.469446951953614e-18,0.9999999999999991,0.6447815790481799,-0.0652432014233059,0.9444808022282639,0.4695955036560473,1.0000000000000004,,0.6432544857331339,0.32067051307918293,,0.553242576076237,81.2335800493432,,85.37843051125837,-0.008506836485425228,1.0274700984971794,0.6798840136959248,-0.06134986639306466,0.9912917861133848,0.4516038607112035,48.638172078860215,,45.03351731250358,True
9,0.432884577559174,,0.6682350313098003,78.08827693614612,,80.94047550625515,48.85251486620416,,47.220146751729025,2.8102520310824275e-16,1.0000000000000007,0.5671154224408261,-0.05441031111693062,0.9262921170171867,0.33418989123661336,1.0,,0.6755227427142713,0.4311304172874158,,0.6698735566234189,78.20198570012742,,80.97974979404947,0.04270258878038369,0.9980473510572945,0.5707024205865054,-0.0007663713821280012,0.9299145146521994,0.33453092243368,51.75076100807022,,50.77399084238557,True
10,0.5284081478725133,,0.5903010204517765,75.40425263877766,,77.70502146045827,48.63606914362329,,47.548536960740265,8.239936510889834e-17,1.0,0.47159185212748667,-0.007613099731261414,1.0171473330707927,0.4100458732910811,0.9999999999999999,,0.9217555100545135,0.5258532674821312,,0.5913089073209516,75.48253862558602,,77.74421427956906,0.005959270055757561,1.0191677225009048,0.47434870497491055,-0.002184667776926868,1.0499326579494477,0.41014733937782766,49.045495856241736,,47.18241867490035,True
11,0.5298638602961226,,0.6006693525843576,74.9374561857344,,72.03420351296008,48.5611003231897,,48.23683154461171,-6.071532165918825e-17,1.0000000000000009,0.47013613970387735,0.004934642429625789,0.9903139180431925,0.3993991867076542,0.9999999999999999,,0.9383274740998284,0.5275931606427126,,0.6011580164367012,75.09938699223045,,72.17723264356934,0.014563968443090592,0.9977809808583056,0.47262223060167186,0.020930357415338424,0.9875400748221221,0.3994050222354313,49.495953969544466,,49.270963028513215,True
